SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	Year-年
硕士	桃红四物汤对全髋关节置换术后患者出凝血影响的临床及网络药理学研究	钱启恒	南京中医药大学	南京中医药大学			2024
硕士	超声导入桃红四物汤对低位单纯性肛瘘术后创面修复的影响	李颜	安徽中医药大学	安徽中医药大学			2024
硕士	桃红四物汤对血栓机化再通影响及血管内皮修复调控机制的研究	崔雪霜	南京中医药大学	南京中医药大学			2024
硕士	伸筋透骨熏洗方联合桃红四物汤治疗髌骨骨折术后康复的临床观察	徐美君	安徽中医药大学	安徽中医药大学			2024
硕士	加味桃红四物汤熏洗对气滞血瘀型混合痔术后创面疼痛的影响	陈欢欢	安徽中医药大学	安徽中医药大学			2024
硕士	基于MAPK/AP-1信号通路探究桃红四物汤治疗血瘀型盘源性下腰痛大鼠模型的机制	胡芷苜	安徽中医药大学	安徽中医药大学			2024
硕士	桃红四物汤对肩关节镜下肩袖修补术后早期疼痛的疗效评价	李庆泽	辽宁中医药大学	辽宁中医药大学			2024
硕士	桃红四物汤联合二甲双胍乳膏对黄褐斑模型小鼠黑色素生成影响	郝钰	辽宁中医药大学	辽宁中医药大学			2024
硕士	桃红四物汤联合二甲双胍乳膏调控自噬抗小鼠皮肤光老化的实验研究	潘迪登	辽宁中医药大学	辽宁中医药大学			2024
硕士	基于NF-κB信号通路研究桃红四物汤联合二甲双胍膏对小鼠光老化的影响	陶柳伶	辽宁中医药大学	辽宁中医药大学			2024
硕士	桃红四物汤联合针刺治疗带状疱疹后遗神经疗效观察	吕琳	辽宁中医药大学	辽宁中医药大学			2024
硕士	桃红四物汤对TKA术后疼痛及凝血功能影响的回顾性队列研究	程征	辽宁中医药大学	辽宁中医药大学			2024
硕士	基于“补气养血”理论探讨橘术四物汤预防THA后下肢DVT形成的临床疗效观察	王淇禾	辽宁中医药大学	辽宁中医药大学			2024
硕士	桃红四物汤调控NCOA4-FTH1轴抑制铁死亡治疗缺血性中风	薛苏君	安徽中医药大学	安徽中医药大学			2024
硕士	基于SIRT1/FOXO1信号通路探讨桃红四物汤改善脑缺血再灌注损伤的机制	余超	安徽中医药大学	安徽中医药大学			2024
硕士	基于CCL2/CCR2轴探讨桃红四物汤治疗缺血性中风药理作用及机制	张丽娟	安徽中医药大学	安徽中医药大学			2024
硕士	加味桃红四物汤联合手术治疗桡骨远端骨折的临床疗效观察	谢赞	江西中医药大学	江西中医药大学			2024
硕士	加味四物汤联合环孢素滴眼液对血虚生风型重症干眼的管理评价	王莉	江西中医药大学	江西中医药大学			2024
